#time(s),cps,e_cps
818541065.03296,7.001e-03,1.465e-03
818541643.36489,7.001e-03,1.465e-03
818542221.69683,7.001e-03,1.465e-03
818542800.02877,7.067e-03,1.472e-03
818543378.36070,7.284e-03,1.490e-03
818543956.69264,1.842e-02,2.190e-03
818544535.02457,1.841e-02,2.189e-03
818545113.35651,1.842e-02,2.190e-03
818545691.68845,1.848e-02,2.193e-03
818546270.02038,2.207e-02,2.354e-03
818546848.35232,2.208e-02,2.354e-03
818547426.68425,1.940e-02,2.245e-03
818548005.01619,1.926e-02,2.237e-03
818548583.34813,1.926e-02,2.237e-03
818549161.68006,1.507e-02,2.043e-03
818549740.01200,1.504e-02,2.041e-03
818550318.34394,1.635e-02,2.100e-03
818550896.67587,1.635e-02,2.100e-03
818551475.00781,1.639e-02,2.103e-03
818552053.33974,1.656e-02,2.112e-03
818552631.67168,1.655e-02,2.112e-03
818553210.00362,1.641e-02,2.102e-03
818553788.33555,1.197e-02,1.856e-03
818554366.66749,1.197e-02,1.856e-03
818554944.99942,9.608e-03,1.695e-03
818555523.33136,9.537e-03,1.689e-03
818556101.66330,9.539e-03,1.689e-03
818556679.99523,9.248e-03,1.668e-03
818557258.32717,8.578e-03,1.611e-03
818557836.65910,8.545e-03,1.608e-03
818558414.99104,8.493e-03,1.602e-03
818558993.32298,8.493e-03,1.602e-03
818559571.65491,8.493e-03,1.602e-03
